ID,ZIP,Latitude,Longitude,City,State,County,Zip,Country,Congressional District
0,4401,44.848517,-68.850405,Bangor,ME,Penobscot County,4401,US,ME2
1,68050,41.314461,-96.823281,Prague,NE,Saunders County,68050,US,NE2
2,58579,47.1586,-100.78347,Wilton,ND,McLean County,58579,US,ND0
3,99402,46.33933,-117.04821,Asotin,WA,Asotin County,99402,US,WA5
4,32352,30.65741,-84.69103,Mount Pleasant,FL,Gadsden County,32352,US,FL2
5,85650,31.489157,-110.215304,Sierra Vista,AZ,Cochise County,85650,US,AZ6
6,98562,47.2362,-124.21296,Moclips,WA,Grays Harbor County,98562,US,WA6
7,70647,30.23687,-93.01376,Iowa,LA,Calcasieu Parish,70647,US,LA3
8,72855,35.274106,-93.615999,Paris,AR,Logan County,72855,US,AR4
9,43146,39.80284,-83.15186,Orient,OH,Pickaway County,43146,US,OH2
10,66536,39.256719,-96.128154,Saint Marys,KS,Pottawatomie County,66536,US,KS1
11,94579,37.688518,-122.147425,San Leandro,CA,Alameda County,94579,US,CA12
12,67010,37.674347,-96.970128,Augusta,KS,Butler County,67010,US,KS4
13,35046,32.931141,-86.534157,Clanton,AL,Chilton County,35046,US,AL3
14,33014,25.904128,-80.302463,Hialeah,FL,Miami-Dade County,33014,US,FL26
15,76550,31.183225,-98.236306,Lampasas,TX,Lampasas County,76550,US,TX11
16,35010,32.916507,-85.940602,Alexander City,AL,Tallapoosa County,35010,US,AL3
17,29303,34.980316,-81.916778,Spartanburg,SC,Spartanburg County,29303,US,SC4
18,54455,44.809226,-89.701277,Mosinee,WI,Marathon County,54455,US,WI7
19,13436,43.81312,-74.65739,Raquette Lake,NY,Hamilton County,13436,US,NY21
20,29571,34.164144,-79.363948,Marion,SC,Marion County,29571,US,SC7
21,78954,30.041719,-96.711265,Round Top,TX,Fayette County,78954,US,TX10
22,60175,41.943171,-88.386905,Saint Charles,IL,Kane County,60175,US,IL11
23,32949,27.92891,-80.52644,Grant,FL,Brevard County,32949,US,FL8
24,28590,35.47461,-77.327423,Winterville,NC,Pitt County,28590,US,NC1
25,97907,44.432748,-117.389163,Huntington,OR,Baker County,97907,US,OR2
26,75110,32.084915,-96.528172,Corsicana,TX,Navarro County,75110,US,TX6
27,72802,35.306683,-93.071219,Russellville,AR,Pope County,72802,US,AR4
28,83644,43.70683,-116.62014,Middleton,ID,Canyon County,83644,US,ID1
29,54843,45.955223,-91.278308,Hayward,WI,Sawyer County,54843,US,WI7
30,71047,32.33321,-93.83629,Keithville,LA,Caddo Parish,71047,US,LA4
31,70601,30.233355,-93.214903,Lake Charles,LA,Calcasieu Parish,70601,US,LA3
32,61275,41.60642,-90.33541,Port Byron,IL,Rock Island County,61275,US,IL17
33,57221,44.590094,-97.466776,Bryant,SD,Hamlin County,57221,US,SD0
34,4441,45.4666,-69.58907,Greenville,ME,Piscataquis County,4441,US,ME2
