ID,ZIP,Latitude,Longitude,Accuracy Type,City,State,County,Zip,Country,Census Year,State FIPS,County FIPS,Place Name,Place FIPS,Census Tract Code,Census Block Code,Census Block Group,Full FIPS (block),Full FIPS (tract),Metro/Micro Statistical Area Name,Metro/Micro Statistical Area Code,Metro/Micro Statistical Area Type,Combined Statistical Area Name,Combined Statistical Area Code,Metropolitan Division Area Name,Metropolitan Division Area Code,Congressional District,Congress
0,11940,40.80923,-72.75964,place,East Moriches,NY,Suffolk County,11940,US,2022,36,36103,East Moriches,3622546,159602,1007,1,3.61032E+14,36103159602,"New York-Newark-Jersey City, NY-NJ-PA",35620,metropolitan,"New York-Newark, NY-NJ-CT-PA",408,"Nassau County-Suffolk County, NY",35004,NY2,118th
1,46072,40.311418,-86.063107,place,Tipton,IN,Tipton County,46072,US,2022,18,18159,,,20402,2029,2,1.8159E+14,18159020402,,,,,,,,IN5,118th
2,80108,39.445502,-104.852987,place,Castle Rock,CO,Douglas County,80108,US,2022,8,8035,,,14016,2005,2,8.03501E+13,8035014016,"Denver-Aurora-Lakewood, CO",19740,metropolitan,"Denver-Aurora, CO",216,,,CO4,118th
3,98004,47.615471,-122.207221,place,Bellevue,WA,King County,98004,US,2022,53,53033,Bellevue,5305210,24002,1013,1,5.3033E+14,53033024002,"Seattle-Tacoma-Bellevue, WA",42660,metropolitan,"Seattle-Tacoma, WA",500,"Seattle-Bellevue-Kent, WA",42644,WA1,118th
4,67054,37.6028,-99.29261,place,Greensburg,KS,Kiowa County,67054,US,2022,20,20097,Greensburg,2028675,969100,3087,3,2.0098E+14,20097969100,,,,,,,,KS4,118th
5,48326,42.688246,-83.244075,place,Auburn Hills,MI,Oakland County,48326,US,2022,26,26125,Auburn Hills,2604105,140303,2001,2,2.61251E+14,26125140303,"Detroit-Warren-Dearborn, MI",19820,metropolitan,"Detroit-Warren-Ann Arbor, MI",220,"Warren-Troy-Farmington Hills, MI",47664,MI11,118th
6,87455,36.330433,-108.654475,place,Newcomb,NM,San Juan County,87455,US,2022,35,35045,,,942900,4019,4,3.50459E+14,35045942900,"Farmington, NM",22140,metropolitan,,,,,NM3,118th
7,46235,39.84709,-85.974081,place,Indianapolis,IN,Marion County,46235,US,2022,18,18097,Lawrence,1842426,330211,3000,3,1.80973E+14,18097330211,"Indianapolis-Carmel-Anderson, IN",26900,metropolitan,"Indianapolis-Carmel-Muncie, IN",294,,,IN7,118th
8,13031,43.049756,-76.348012,place,Camillus,NY,Onondaga County,13031,US,2022,36,36067,,,12100,3010,3,3.6067E+14,36067012100,"Syracuse, NY",45060,metropolitan,"Syracuse-Auburn, NY",532,,,NY22,118th
9,78102,28.488192,-97.730956,place,Beeville,TX,Bee County,78102,US,2022,48,48025,,,950204,1062,1,4.8026E+14,48025950204,"Beeville, TX",13300,micropolitan,,,,,TX27,118th
10,62037,38.98414,-90.43136,place,Grafton,IL,Jersey County,62037,US,2022,17,17083,,,10500,1036,1,1.7083E+14,17083010500,"St. Louis, MO-IL",41180,metropolitan,"St. Louis-St. Charles-Farmington, MO-IL",476,,,IL15,118th
11,97480,44.0579,-123.79927,place,Swisshome,OR,Lane County,97480,US,2022,41,41039,,,500,2046,2,4.1039E+14,41039000500,"Eugene-Springfield, OR",21660,metropolitan,,,,,OR4,118th
12,46168,39.70421,-86.39944,place,Plainfield,IN,Hendricks County,46168,US,2022,18,18063,Plainfield,1860246,210900,1025,1,1.80632E+14,18063210900,"Indianapolis-Carmel-Anderson, IN",26900,metropolitan,"Indianapolis-Carmel-Muncie, IN",294,,,IN4,118th
13,54822,45.40857,-91.74406,place,Cameron,WI,Barron County,54822,US,2022,55,55005,Cameron,5512250,800,3010,3,5.5005E+14,55005000800,,,,,,,,WI7,118th
14,72010,35.331399,-91.520754,place,Bald Knob,AR,White County,72010,US,2022,5,5145,,,70600,3001,3,5.14507E+13,5145070600,"Searcy, AR",42620,micropolitan,"Little Rock-North Little Rock, AR",340,,,AR2,118th
15,53551,43.080902,-88.913251,place,Lake Mills,WI,Jefferson County,53551,US,2022,55,55055,Lake Mills,5541675,100500,3018,3,5.50551E+14,55055100500,"Watertown-Fort Atkinson, WI",48020,micropolitan,"Milwaukee-Racine-Waukesha, WI",376,,,WI5,118th
16,95667,38.730224,-120.797149,place,Placerville,CA,El Dorado County,95667,US,2022,6,6017,Placerville,657540,31100,1018,1,6.01703E+13,6017031100,"Sacramento-Roseville-Folsom, CA",40900,metropolitan,"Sacramento-Roseville, CA",472,,,CA5,118th
17,97501,42.265974,-122.900832,place,Medford,OR,Jackson County,97501,US,2022,41,41029,,,1602,4010,4,4.1029E+14,41029001602,"Medford, OR",32780,metropolitan,"Medford-Grants Pass, OR",366,,,OR2,118th
18,95695,38.74388,-121.915653,place,Woodland,CA,Yolo County,95695,US,2022,6,6113,,,11400,1062,1,6.11301E+13,6113011400,"Sacramento-Roseville-Folsom, CA",40900,metropolitan,"Sacramento-Roseville, CA",472,,,CA4,118th
